"id","y","x","d"
2,0.419,1,1
3,7.915,0,2
4,2.48,0,2
5,2.5,1,1
6,0.167,1,2
7,5.925,0,0
9,13.333,1,1
10,7.666,0,0
11,2.834,1,0
13,3.083,1,2
14,4.668,1,2
15,4.816,1,2
16,2.166,0,1
17,5.837,0,2
18,0.162,1,1
20,0.504,1,1
21,5.229,0,0
22,1.916,0,2
23,5.916,0,2
24,14.396,0,0
26,6.998,0,2
27,5.246,1,2
28,1.815,1,0
29,0.747,1,2
30,5.503,1,1
31,7.231,1,0
32,14.48,0,0
33,1.9,0,0
34,4.244,1,2
35,1.418,1,1
36,2.746,0,2
37,0.252,1,1
38,16.564,0,0
39,7.918,1,2
40,19.833,1,2
41,1.166,1,1
42,7.748,1,2
43,5.229,1,0
44,10.919,0,2
45,7.984,0,1
46,0.83,1,1
47,4.917,0,2
48,13.336,1,2
50,1.421,0,1
52,5.248,1,2
54,6.672,1,0
56,9.834,1,0
57,0.914,1,2
58,9.648,0,2
59,8.923,0,0
61,6.913,1,1
62,1.084,1,1
63,15.901,0,0
64,2.661,1,1
65,1.747,0,2
66,9.919,1,1
67,15.833,0,2
69,3.168,0,2
71,6.166,0,2
72,11.499,1,2
73,11.748,0,1
74,9.563,1,0
76,16.397,0,0
77,8.337,1,0
80,8.983,0,0
84,2.171,1,1
85,11.581,0,2
86,2.831,1,2
87,2.5,1,1
88,15.316,1,2
89,5.396,0,0
91,3.833,0,2
92,14.396,0,0
93,14.166,1,2
94,19.146,1,0
95,0.999,1,1
96,4.914,0,1
97,2.067,1,1
98,3.335,1,1
100,0.252,1,2
102,3.25,0,2
103,1.084,0,1
105,0.671,0,2
109,9.081,1,2
110,0.917,1,2
112,0.83,1,1
113,7.748,1,1
114,7.65,1,0
115,11.734,0,0
116,7.398,1,0
117,1.081,1,1
118,7.483,0,0
119,7.066,0,0
121,0.917,0,1
122,1.081,1,2
123,11.901,1,2
124,0.914,1,1
125,6.732,0,0
126,17.916,0,2
127,1.418,1,1
128,3.587,0,1
129,0.832,0,2
131,4.589,1,2
132,5.58,1,2
133,3.833,0,1
134,3.398,0,0
135,1.084,1,1
136,8.397,0,0
138,5.079,1,1
141,10.563,0,2
142,0.583,1,1
143,0.419,1,1
145,6.749,1,1
146,2.396,1,0
147,0.496,1,1
148,1.665,0,2
149,3.901,0,0
150,2.563,1,0
151,5.815,0,0
152,1.314,1,0
153,2.899,0,0
154,1.413,1,1
155,5.164,1,2
156,14.067,1,2
157,19.671,1,2
158,3.502,0,1
159,0.75,0,1
160,1.333,1,2
161,9.084,1,1
162,4.17,0,1
163,15.173,1,0
164,3.001,0,2
165,0.747,0,1
166,4.331,0,1
167,1.084,1,1
168,1.251,0,1
169,22.007,0,2
172,1.999,0,1
173,3.173,0,0
174,12.09,0,0
175,0.586,1,1
176,6.174,0,0
178,5.673,0,0
181,1.251,1,1
182,13.673,0,2
183,0.167,1,2
184,4.504,1,0
185,1.333,0,1
186,4.58,1,2
187,2.664,0,2
188,10.341,0,0
191,5.832,0,2
192,10.007,0,0
193,2.168,0,1
194,7.414,1,2
195,2.754,0,0
196,6.587,0,1
197,12.756,1,0
198,10.081,0,2
200,2.412,0,2
201,14.007,0,2
203,4.668,0,2
204,0.419,1,1
205,7.34,0,0
206,0.665,0,1
208,1.166,1,1
209,4.172,1,0
210,8.424,1,0
211,1.081,1,1
212,0.756,1,1
213,0.832,1,1
217,4.674,0,0
219,4.424,0,0
220,2.415,0,1
221,1.58,1,1
222,5.342,1,0
223,9.342,1,0
224,10.259,0,0
226,19.921,1,0
227,0.085,1,1
230,6.253,1,2
231,13.166,1,1
232,1.166,0,1
233,3.581,0,1
234,16.756,0,0
235,1.336,0,1
236,1.582,1,2
237,0.917,1,2
238,2.752,1,1
239,12.756,1,0
240,7.329,0,1
241,1.081,0,1
243,0.58,1,1
244,0.589,1,1
245,0.419,0,2
247,15.091,1,2
248,2.998,1,1
249,0.17,0,2
252,4.92,1,2
253,13.585,0,2
254,1.084,1,1
256,16.999,1,2
257,12.504,1,0
258,2.33,0,1
259,0.671,1,1
260,17.259,0,0
265,0.085,1,1
267,0.249,1,2
268,10.42,0,1
269,1.418,0,2
270,3.587,0,2
271,5.342,0,0
272,5.418,1,2
273,13.755,0,1
275,12.424,0,0
276,14.754,1,0
278,14.672,1,0
279,1.169,1,1
280,0.498,0,1
281,0.665,0,1
282,6.426,1,0
284,14.341,0,0
286,0.419,1,1
287,9.081,1,2
288,2.42,0,2
289,11.671,1,1
290,0.917,1,1
291,8.504,1,0
292,9.832,0,2
293,1.413,0,1
294,11.838,0,0
295,3.329,1,1
297,3.915,1,2
298,7.754,0,0
299,3.671,1,0
300,17.588,0,0
301,5.588,0,0
302,10.007,0,0
303,15.091,0,0
304,0.914,1,1
305,0.498,0,1
306,12.424,0,0
308,16.589,0,0
309,0.329,1,1
310,13.336,0,2
311,4.339,0,0
312,0.999,1,1
313,9.503,1,0
314,3.168,1,2
315,7.001,1,2
316,1.999,1,1
317,23.258,0,0
318,0.413,1,1
319,6.916,0,1
320,3.669,1,2
322,11.425,0,0
325,5.175,1,0
326,9.585,0,2
328,13.008,0,0
329,1.084,1,1
330,8.756,0,0
331,5.418,0,2
332,1.418,1,2
334,9.9,1,2
335,20.923,1,0
336,1.084,1,1
338,6.007,0,2
